#  Northwest October-September Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189609,32.84,0.72
189709,36.82,4.70
189809,31.41,-0.71
189909,31.46,-0.66
190009,33.21,1.09
190109,33.67,1.55
190209,31.44,-0.68
190309,33.72,1.60
190409,37.70,5.58
190509,28.87,-3.25
190609,30.88,-1.24
190709,38.00,5.88
190809,29.28,-2.84
190909,31.06,-1.06
191009,32.87,0.75
191109,31.76,-0.36
191209,33.27,1.15
191309,32.06,-0.06
191409,32.04,-0.08
191509,26.80,-5.32
191609,38.48,6.36
191709,28.64,-3.48
191809,30.90,-1.22
191909,30.12,-2.00
192009,28.73,-3.39
192109,36.45,4.33
192209,30.06,-2.06
192309,31.18,-0.94
192409,22.43,-9.69
192509,34.89,2.77
192609,25.39,-6.73
192709,36.60,4.48
192809,30.07,-2.05
192909,23.17,-8.95
193009,25.31,-6.81
193109,23.75,-8.37
193209,32.72,0.60
193309,32.61,0.49
193409,29.57,-2.55
193509,30.59,-1.53
193609,29.90,-2.22
193709,27.22,-4.90
193809,35.66,3.54
193909,25.35,-6.77
194009,32.87,0.75
194109,32.20,0.08
194209,30.16,-1.96
194309,35.71,3.59
194409,25.16,-6.96
194509,30.22,-1.90
194609,33.58,1.46
194709,31.69,-0.43
194809,38.83,6.71
194909,29.02,-3.10
195009,34.75,2.63
195109,36.32,4.20
195209,32.16,0.04
195309,32.84,0.72
195409,34.21,2.09
195509,26.99,-5.13
195609,40.48,8.36
195709,31.65,-0.47
195809,34.48,2.36
195909,34.46,2.34
196009,29.38,-2.74
196109,34.19,2.07
196209,30.20,-1.92
196309,33.46,1.34
196409,32.41,0.29
196509,35.97,3.85
196609,26.22,-5.90
196709,32.63,0.51
196809,32.79,0.67
196909,34.94,2.82
197009,31.75,-0.37
197109,38.76,6.64
197209,37.95,5.83
197309,24.90,-7.22
197409,41.14,9.02
197509,33.10,0.98
197609,36.29,4.17
197709,20.69,-11.43
197809,37.12,5.00
197909,25.01,-7.11
198009,34.14,2.02
198109,31.56,-0.56
198209,40.69,8.57
198309,40.52,8.40
198409,37.71,5.59
198509,28.94,-3.18
198609,33.23,1.11
198709,26.35,-5.77
198809,26.57,-5.55
198909,31.25,-0.87
199009,29.43,-2.69
199109,31.67,-0.45
199209,26.16,-5.96
199309,33.91,1.79
199409,22.75,-9.37
199509,38.31,6.19
199609,40.95,8.83
199709,45.13,13.01
199809,34.22,2.10
199909,37.63,5.51
200009,30.75,-1.37
200109,21.58,-10.54
200209,31.21,-0.91
200309,29.01,-3.11
200409,32.29,0.17
200509,27.29,-4.83
200609,35.91,3.79
200709,31.02,-1.10
200809,30.47,-1.65
200909,29.75,-2.37
201009,32.82,0.70
201109,37.57,5.45
201209,32.17,0.05
201309,34.02,1.90
201409,28.69,-3.43
201509,28.89,-3.23
201609,34.99,2.87
201709,41.02,8.90
201809,30.11,-2.01
201909,31.75,-0.37
202009,27.79,-4.33
202109,26.83,-5.29
202209,32.84,0.72
202309,29.67,-2.45
202409,30.23,-1.89
