#  Northwest October-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189609,44.6,-0.5
189709,44.5,-0.6
189809,44.9,-0.2
189909,42.6,-2.5
190009,45.7,0.6
190109,44.4,-0.7
190209,44.8,-0.3
190309,43.5,-1.6
190409,44.9,-0.2
190509,45.9,0.8
190609,44.5,-0.6
190709,44.4,-0.7
190809,45.4,0.3
190909,44.2,-0.9
191009,44.4,-0.7
191109,44.0,-1.1
191209,43.5,-1.6
191309,43.4,-1.7
191409,45.4,0.3
191509,45.2,0.1
191609,43.4,-1.7
191709,42.0,-3.1
191809,46.5,1.4
191909,45.2,0.1
192009,43.0,-2.1
192109,44.6,-0.5
192209,43.7,-1.4
192309,44.2,-0.9
192409,45.2,0.1
192509,45.4,0.3
192609,46.6,1.5
192709,44.8,-0.3
192809,45.2,0.1
192909,42.9,-2.2
193009,45.1,0.0
193109,45.2,0.1
193209,43.6,-1.5
193309,43.5,-1.6
193409,49.0,3.9
193509,45.5,0.4
193609,44.7,-0.4
193709,43.7,-1.4
193809,46.7,1.6
193909,45.7,0.6
194009,47.8,2.7
194109,46.1,1.0
194209,44.9,-0.2
194309,44.8,-0.3
194409,44.8,-0.3
194509,45.1,0.0
194609,45.3,0.2
194709,45.3,0.2
194809,44.4,-0.7
194909,43.2,-1.9
195009,43.7,-1.4
195109,45.6,0.5
195209,44.0,-1.1
195309,45.6,0.5
195409,45.4,0.3
195509,43.4,-1.7
195609,44.4,-0.7
195709,44.3,-0.8
195809,46.8,1.7
195909,45.8,0.7
196009,44.8,-0.3
196109,46.5,1.4
196209,43.9,-1.2
196309,46.0,0.9
196409,44.0,-1.1
196509,44.7,-0.4
196609,46.2,1.1
196709,46.8,1.7
196809,45.5,0.4
196909,44.7,-0.4
197009,45.4,0.3
197109,44.5,-0.6
197209,44.6,-0.5
197309,44.9,-0.2
197409,45.5,0.4
197509,44.4,-0.7
197609,44.6,-0.5
197709,45.5,0.4
197809,45.8,0.7
197909,44.2,-0.9
198009,45.3,0.2
198109,46.7,1.6
198209,44.7,-0.4
198309,45.4,0.3
198409,44.4,-0.7
198509,43.6,-1.5
198609,44.7,-0.4
198709,46.8,1.7
198809,46.4,1.3
198909,45.4,0.3
199009,47.1,2.0
199109,45.1,0.0
199209,48.2,3.1
199309,43.8,-1.3
199409,47.1,2.0
199509,45.5,0.4
199609,46.0,0.9
199709,46.0,0.9
199809,47.0,1.9
199909,45.1,0.0
200009,47.1,2.0
200109,45.7,0.6
200209,45.8,0.7
200309,47.6,2.5
200409,46.8,1.7
200509,46.7,1.6
200609,46.5,1.4
200709,46.7,1.6
200809,44.8,-0.3
200909,46.3,1.2
201009,45.1,0.0
201109,45.0,-0.1
201209,46.4,1.3
201309,46.8,1.7
201409,46.8,1.7
201509,49.2,4.1
201609,47.7,2.6
201709,46.5,1.4
201809,46.9,1.8
201909,45.9,0.8
202009,46.6,1.5
202109,47.7,2.6
202209,46.9,1.8
202309,45.8,0.7
202409,47.8,2.7
