fishery_name,fishery_id,mu_name,run_year,n_expanded,n_observed
10 Tst Net,0,Hood Canal,1991,6.04,6
10 Tst Net,0,Hood Canal,1992,24.240000000000002,24
10 Tst Net,0,Hood Canal,1993,21.42,21
10 Tst Net,0,Hood Canal,1994,23.42,23
10 Tst Net,0,Hood Canal,1995,12,12
10 Tst Net,0,Hood Canal,1996,7,7
10 Tst Net,0,Hood Canal,1997,9,9
10 Tst Net,0,Hood Canal,2001,9.44,7
10 Tst Net,0,Hood Canal,2002,2.18,2
10 Tst Net,0,Hood Canal,2003,2,2
10 Tst Net,0,Hood Canal,2005,3,3
10 Tst Net,0,Hood Canal,2007,1,1
10 Tst Net,0,Interior Fraser,2001,1.44,1
10 Tst Net,0,Skagit,1991,2.04,2
10 Tst Net,0,Skagit,1992,3.0300000000000002,3
10 Tst Net,0,Skagit,1993,6.07,6
10 Tst Net,0,Skagit,1994,6.0600000000000005,6
10 Tst Net,0,Skagit,1996,2,2
10 Tst Net,0,Skagit,1997,2.1399999999999997,2
10 Tst Net,0,Skagit,2003,12.8,7
10 Tst Net,0,Snohomish,1991,1,1
10 Tst Net,0,Snohomish,1992,4.0600000000000005,4
10 Tst Net,0,Snohomish,1993,5.07,5
10 Tst Net,0,Snohomish,1994,4.13,4
10 Tst Net,0,Snohomish,1995,3.18,3
10 Tst Net,0,Snohomish,1996,9,9
10 Tst Net,0,Strait of Georgia Vancouver Isl.,1996,1,1
10 Tst Net,0,Strait of Georgia Vancouver Isl.,2001,1.44,1
10 Tst Net,0,Strait of Juan de Fuca,1992,2,1
10F-G  Net,125,Hood Canal,1990,17.98,2
10F-G  Net,125,Hood Canal,1991,1.69,1
10F-G  Net,125,Hood Canal,2003,1.85,1
10F-G  Net,125,Hood Canal,2004,4.17,2
10F-G  Net,125,Hood Canal,2006,5.44,4
10F-G  Net,125,Hood Canal,2008,2.85,1
10F-G  Net,125,Skagit,1988,3.56,1
10F-G  Net,125,Skagit,1996,2.7800000000000002,2
10F-G  Net,125,Skagit,2004,2.08,1
10F-G  Net,125,Snohomish,1986,9.83,1
10F-G  Net,125,Snohomish,1987,8.42,2
10F-G  Net,125,Snohomish,1988,3.08,1
10F-G  Net,125,Snohomish,1991,1.57,1
10F-G  Net,125,Snohomish,1992,1.34,1
10F-G  Net,125,Snohomish,1997,1.15,1
10F-G  Net,125,Snohomish,2003,1.85,1
10F-G  Net,125,Snohomish,2004,1.28,1
10F-G  Net,125,Snohomish,2005,2.15,1
10F-G  Net,125,Snohomish,2006,5.76,5
10F-G  Net,125,Snohomish,2007,2.7,1
10F-G  Net,125,Snohomish,2014,6.65,2
10F-G  Net,125,Snohomish,2016,1.99,1
10F-G  Net,125,Snohomish,2017,1.39,1
10F-G  Net,125,Stillaguamish,1988,1.5,1
10F-G  Net,125,Strait of Juan de Fuca,1995,1.14,1
12A Tb Spt,164,Hood Canal,1990,4,1
12A Tb Spt,164,Hood Canal,1991,32,8
12CD NetTR,160,Hood Canal,1986,199.4,82
12CD NetTR,160,Hood Canal,1987,271.65,44
12CD NetTR,160,Hood Canal,1988,23.1,3
12CD NetTR,160,Hood Canal,1989,153.08,85
12CD NetTR,160,Hood Canal,1991,44.02,44
12CD NetTR,160,Hood Canal,1998,56.35,19
12CD NetTR,160,Hood Canal,2000,306.2,43
12CD NetTR,160,Hood Canal,2001,570.38,87
12CD NetTR,160,Hood Canal,2002,115.72,55
12CD NetTR,160,Hood Canal,2003,450.71999999999997,58
12CD NetTR,160,Hood Canal,2004,520.2,53
12CD NetTR,160,Hood Canal,2005,93.86,16
12CD NetTR,160,Hood Canal,2006,801.21,58
12CD NetTR,160,Hood Canal,2007,90.33,22
12CD NetTR,160,Hood Canal,2008,369.56,215
12CD NetTR,160,Hood Canal,2009,344.05,112
12CD NetTR,160,Hood Canal,2010,134.47,54
12CD NetTR,160,Hood Canal,2011,124.26,20
12CD NetTR,160,Hood Canal,2012,346.73,73
12CD NetTR,160,Hood Canal,2013,167,69
12CD NetTR,160,Hood Canal,2014,415.88,206
12CD NetTR,160,Hood Canal,2015,38.65,13
12CD NetTR,160,Hood Canal,2016,134.15,30
12CD NetTR,160,Hood Canal,2017,100.7,42
12CD NetTR,160,Hood Canal,2018,288.29,63
12CD NetTR,160,Hood Canal,2019,101.74,42
12CD NetTR,160,Hood Canal,2020,83.58,43
12CD NetTR,160,Hood Canal,2021,51.87,22
12CD NetTR,160,Hood Canal,2022,50.13,30
12CD NetTR,160,Hood Canal,2023,19.05,5
12CD NetTR,160,Skagit,2004,1.57,1
12CD NetTR,160,Snohomish,1987,14.37,1
12CD NetTR,160,Snohomish,1989,1.3,1
12CD NetTR,160,Strait of Georgia Vancouver Isl.,2008,1.01,1
13FK NetTR,146,Hood Canal,2016,1.14,1
13FK NetTR,146,Skagit,2017,0,3
13FK NetTR,146,Snohomish,2017,0,2
4B-6C  Net,81,Grays Harbor,1986,27.83,9
4B-6C  Net,81,Grays Harbor,1987,6.01,3
4B-6C  Net,81,Grays Harbor,1988,12.1,7
4B-6C  Net,81,Grays Harbor,1989,17.13,6
4B-6C  Net,81,Grays Harbor,1991,140.11,73
4B-6C  Net,81,Grays Harbor,1992,3.7800000000000002,2
4B-6C  Net,81,Grays Harbor,1993,2.43,1
4B-6C  Net,81,Grays Harbor,1995,2.33,2
4B-6C  Net,81,Grays Harbor,2003,2.34,2
4B-6C  Net,81,Grays Harbor,2011,1.1,1
4B-6C  Net,81,Hoh,1988,8.81,4
4B-6C  Net,81,Hoh,1989,8.11,4
4B-6C  Net,81,Hoh,1991,4.77,3
4B-6C  Net,81,Hoh,1992,1.45,1
4B-6C  Net,81,Hood Canal,1986,386.77,166
4B-6C  Net,81,Hood Canal,1987,393.62,205
4B-6C  Net,81,Hood Canal,1988,9.57,6
4B-6C  Net,81,Hood Canal,1989,160.63,70
4B-6C  Net,81,Hood Canal,1990,244.97,137
4B-6C  Net,81,Hood Canal,1991,184.24,109
4B-6C  Net,81,Hood Canal,1992,25.39,15
4B-6C  Net,81,Hood Canal,1993,37.410000000000004,16
4B-6C  Net,81,Hood Canal,1995,116.25,78
4B-6C  Net,81,Hood Canal,1996,7.28,2
4B-6C  Net,81,Hood Canal,1997,2.12,1
4B-6C  Net,81,Hood Canal,1998,33.02,29
4B-6C  Net,81,Hood Canal,1999,11.91,11
4B-6C  Net,81,Hood Canal,2000,35.72,14
4B-6C  Net,81,Hood Canal,2001,161.96,52
4B-6C  Net,81,Hood Canal,2002,79.63000000000001,32
4B-6C  Net,81,Hood Canal,2003,67.62,46
4B-6C  Net,81,Hood Canal,2004,278.88,115
4B-6C  Net,81,Hood Canal,2005,54.76,42
4B-6C  Net,81,Hood Canal,2006,9.780000000000001,3
4B-6C  Net,81,Hood Canal,2007,14.74,11
4B-6C  Net,81,Hood Canal,2008,14.67,9
4B-6C  Net,81,Hood Canal,2010,24.03,15
4B-6C  Net,81,Hood Canal,2011,48.2,25
4B-6C  Net,81,Hood Canal,2012,54.34,33
4B-6C  Net,81,Hood Canal,2013,16.759999999999998,11
4B-6C  Net,81,Hood Canal,2014,1.69,1
4B-6C  Net,81,Hood Canal,2015,25.240000000000002,10
4B-6C  Net,81,Hood Canal,2016,7.52,7
4B-6C  Net,81,Hood Canal,2018,69.66,51
4B-6C  Net,81,Hood Canal,2022,0,22
4B-6C  Net,81,Interior Fraser,1986,21.7,9
4B-6C  Net,81,Interior Fraser,1987,34.36,18
4B-6C  Net,81,Interior Fraser,1988,11.59,7
4B-6C  Net,81,Interior Fraser,1989,40.96,18
4B-6C  Net,81,Interior Fraser,1990,7.59,5
4B-6C  Net,81,Interior Fraser,1991,41.38,23
4B-6C  Net,81,Interior Fraser,1992,4.59,3
4B-6C  Net,81,Interior Fraser,1995,5.390000000000001,4
4B-6C  Net,81,Interior Fraser,2002,14.63,5
4B-6C  Net,81,Interior Fraser,2003,1.67,1
4B-6C  Net,81,Interior Fraser,2004,2.29,1
4B-6C  Net,81,Interior Fraser,2008,1.47,1
4B-6C  Net,81,Interior Fraser,2018,1.33,1
4B-6C  Net,81,Lower Fraser,1986,227.14,72
4B-6C  Net,81,Lower Fraser,1987,187.13,94
4B-6C  Net,81,Lower Fraser,1988,42.26,24
4B-6C  Net,81,Lower Fraser,1989,133.09,54
4B-6C  Net,81,Lower Fraser,1990,43.29,21
4B-6C  Net,81,Lower Fraser,1991,70.86,42
4B-6C  Net,81,Lower Fraser,1992,4.96,3
4B-6C  Net,81,Lower Fraser,1993,6.34,3
4B-6C  Net,81,Lower Fraser,1994,33.86,2
4B-6C  Net,81,Lower Fraser,1995,38.37,25
4B-6C  Net,81,Lower Fraser,1999,3.52,3
4B-6C  Net,81,Lower Fraser,2000,1,1
4B-6C  Net,81,Lower Fraser,2001,4.74,1
4B-6C  Net,81,Lower Fraser,2002,8.030000000000001,3
4B-6C  Net,81,Lower Fraser,2003,1.17,1
4B-6C  Net,81,Lower Fraser,2004,6.87,5
4B-6C  Net,81,Lower Fraser,2007,3.51,1
4B-6C  Net,81,Lower Fraser,2010,1,1
4B-6C  Net,81,Lower Fraser,2012,1.42,1
4B-6C  Net,81,Lower Fraser,2015,3.24,1
4B-6C  Net,81,Lower Fraser,2018,1.33,1
4B-6C  Net,81,Lower Fraser,2022,0,1
4B-6C  Net,81,Queets,1987,16.3,8
4B-6C  Net,81,Queets,1988,3.21,1
4B-6C  Net,81,Queets,1989,7.5,3
4B-6C  Net,81,Queets,1990,11.5,6
4B-6C  Net,81,Queets,1991,12.42,7
4B-6C  Net,81,Queets,1992,5.12,2
4B-6C  Net,81,Queets,1993,6.51,3
4B-6C  Net,81,Queets,1995,3.76,2
4B-6C  Net,81,Queets,1999,1.25,1
4B-6C  Net,81,Queets,2001,4.74,1
4B-6C  Net,81,Queets,2005,1.79,1
4B-6C  Net,81,Queets,2008,3.27,1
4B-6C  Net,81,Queets,2012,1.02,1
4B-6C  Net,81,Queets,2016,1,1
4B-6C  Net,81,Queets,2018,2.16,1
4B-6C  Net,81,Quillayute,1986,8.15,3
4B-6C  Net,81,Quillayute,1987,5.109999999999999,3
4B-6C  Net,81,Quillayute,1989,29.99,12
4B-6C  Net,81,Quillayute,1991,24.57,15
4B-6C  Net,81,Quillayute,1992,1.94,1
4B-6C  Net,81,Quillayute,1995,1.03,1
4B-6C  Net,81,Quillayute,1997,1.32,1
4B-6C  Net,81,Quillayute,1998,4.26,2
4B-6C  Net,81,Quillayute,1999,11.02,5
4B-6C  Net,81,Quillayute,2001,12.24,2
4B-6C  Net,81,Quillayute,2004,2.29,1
4B-6C  Net,81,Quillayute,2006,1.54,1
4B-6C  Net,81,Quillayute,2008,,1
4B-6C  Net,81,Quillayute,2010,2.5,1
4B-6C  Net,81,Quillayute,2011,1.18,1
4B-6C  Net,81,Quillayute,2022,0,1
4B-6C  Net,81,Skagit,1986,257.96,135
4B-6C  Net,81,Skagit,1987,315.51,158
4B-6C  Net,81,Skagit,1988,61.870000000000005,40
4B-6C  Net,81,Skagit,1989,165.73,71
4B-6C  Net,81,Skagit,1990,73.81,40
4B-6C  Net,81,Skagit,1991,86.53,50
4B-6C  Net,81,Skagit,1992,13.3,8
4B-6C  Net,81,Skagit,1993,4.83,3
4B-6C  Net,81,Skagit,1994,22.66,4
4B-6C  Net,81,Skagit,1995,11.94,8
4B-6C  Net,81,Skagit,1998,4.28,4
4B-6C  Net,81,Skagit,1999,1.02,1
4B-6C  Net,81,Skagit,2000,8.43,3
4B-6C  Net,81,Skagit,2001,13.91,7
4B-6C  Net,81,Skagit,2002,38.5,18
4B-6C  Net,81,Skagit,2003,31.03,16
4B-6C  Net,81,Skagit,2004,70.11,29
4B-6C  Net,81,Skagit,2005,4.33,3
4B-6C  Net,81,Skagit,2007,9.9,9
4B-6C  Net,81,Skagit,2010,11,5
4B-6C  Net,81,Skagit,2011,8.809999999999999,2
4B-6C  Net,81,Skagit,2012,13,9
4B-6C  Net,81,Skagit,2013,7.76,2
4B-6C  Net,81,Skagit,2015,3.24,1
4B-6C  Net,81,Skagit,2016,1,1
4B-6C  Net,81,Skagit,2018,11.81,9
4B-6C  Net,81,Skagit,2022,0,2
4B-6C  Net,81,Snohomish,1986,296.03,136
4B-6C  Net,81,Snohomish,1987,328.45,174
4B-6C  Net,81,Snohomish,1988,28.77,18
4B-6C  Net,81,Snohomish,1989,158.06,66
4B-6C  Net,81,Snohomish,1990,148.37,63
4B-6C  Net,81,Snohomish,1991,126.61,70
4B-6C  Net,81,Snohomish,1992,28,16
4B-6C  Net,81,Snohomish,1993,3.42,2
4B-6C  Net,81,Snohomish,1994,18.57,3
4B-6C  Net,81,Snohomish,1995,34.19,22
4B-6C  Net,81,Snohomish,1997,2.12,1
4B-6C  Net,81,Snohomish,1999,5.33,5
4B-6C  Net,81,Snohomish,2000,5.62,2
4B-6C  Net,81,Snohomish,2001,41.44,18
4B-6C  Net,81,Snohomish,2002,30.96,12
4B-6C  Net,81,Snohomish,2003,12.2,10
4B-6C  Net,81,Snohomish,2004,32.85,12
4B-6C  Net,81,Snohomish,2005,3.58,2
4B-6C  Net,81,Snohomish,2007,7.9,7
4B-6C  Net,81,Snohomish,2012,4.95,3
4B-6C  Net,81,Snohomish,2014,3.38,2
4B-6C  Net,81,Snohomish,2015,9.98,4
4B-6C  Net,81,Snohomish,2018,12.9,8
4B-6C  Net,81,Snohomish,2022,0,3
4B-6C  Net,81,Stillaguamish,1987,27.42,14
4B-6C  Net,81,Stillaguamish,1988,25.69,16
4B-6C  Net,81,Stillaguamish,1989,36.23,15
4B-6C  Net,81,Stillaguamish,1990,47.31,22
4B-6C  Net,81,Stillaguamish,2012,3.95,2
4B-6C  Net,81,Strait of Georgia Mainland,1986,151.68,68
4B-6C  Net,81,Strait of Georgia Mainland,1987,169.17,80
4B-6C  Net,81,Strait of Georgia Mainland,1988,23.82,12
4B-6C  Net,81,Strait of Georgia Mainland,1989,91.89,34
4B-6C  Net,81,Strait of Georgia Mainland,1990,27.91,16
4B-6C  Net,81,Strait of Georgia Mainland,1991,82.83,57
4B-6C  Net,81,Strait of Georgia Mainland,1992,18.89,11
4B-6C  Net,81,Strait of Georgia Mainland,1993,6.77,4
4B-6C  Net,81,Strait of Georgia Mainland,1994,57.86,4
4B-6C  Net,81,Strait of Georgia Mainland,1995,124.33,80
